id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
550,2006,2006-10-16,New Zealand,normal,87,,SP Fleming,New Zealand,South Africa,South Africa,field,Aleem Dar,MR Benson,Brabourne Stadium
551,2006,2006-10-17,Pakistan,normal,,4,Abdul Razzaq,Pakistan,Sri Lanka,Sri Lanka,bat,BF Bowden,SJA Taufel,Sawai Mansingh Stadium
552,2006,2006-10-18,West Indies,normal,10,,RS Morton,Australia,West Indies,West Indies,bat,MR Benson,RE Koertzen,Brabourne Stadium
553,2006,2006-10-20,Sri Lanka,normal,,7,M Muralitharan,New Zealand,Sri Lanka,New Zealand,bat,Aleem Dar,RE Koertzen,Brabourne Stadium
554,2006,2006-10-21,Australia,normal,,6,DR Martyn,Australia,England,Australia,field,BF Bowden,SA Bucknor,Sawai Mansingh Stadium
555,2006,2006-10-24,South Africa,normal,78,,SM Pollock,South Africa,Sri Lanka,Sri Lanka,field,DJ Harper,SJA Taufel,"Sardar Patel Stadium, Motera"
556,2006,2006-10-25,New Zealand,normal,51,,SP Fleming,New Zealand,Pakistan,Pakistan,field,MR Benson,RE Koertzen,"Punjab Cricket Association Stadium, Mohali"
557,2006,2006-10-26,West Indies,normal,,3,S Chanderpaul,India,West Indies,West Indies,field,Aleem Dar,DJ Harper,"Sardar Patel Stadium, Motera"
558,2006,2006-10-27,South Africa,normal,124,,M Ntini,Pakistan,South Africa,South Africa,bat,MR Benson,BF Bowden,"Punjab Cricket Association Stadium, Mohali"
559,2006,2006-10-28,England,normal,,3,CH Gayle,England,West Indies,West Indies,bat,DJ Harper,SJA Taufel,"Sardar Patel Stadium, Motera"
560,2006,2006-10-29,Australia,normal,,6,DR Martyn,India,Australia,India,bat,BF Bowden,SA Bucknor,"Punjab Cricket Association Stadium, Mohali"
561,2006,2006-11-01,Australia,normal,34,,GD McGrath,Australia,New Zealand,New Zealand,field,SA Bucknor,RE Koertzen,"Punjab Cricket Association Stadium, Mohali"
562,2006,2006-11-02,West Indies,normal,,6,CH Gayle,South Africa,West Indies,South Africa,bat,Aleem Dar,SJA Taufel,Sawai Mansingh Stadium
563,2006,2006-11-05,Australia,normal,,8,SR Watson,Australia,West Indies,West Indies,bat,Aleem Dar,RE Koertzen,Brabourne Stadium
564,2007,2007-02-04,South Africa,normal,164,,JH Kallis,South Africa,Pakistan,Pakistan,field,RE Koertzen,PD Parker,SuperSport Park
565,2007,2007-02-07,Pakistan,normal,141,,Younis Khan,South Africa,Pakistan,Pakistan,bat,SA Bucknor,BG Jerling,Kingsmead
566,2007,2007-02-09,NA,no result,,,NA,South Africa,Pakistan,Pakistan,bat,SA Bucknor,RE Koertzen,St George's Park
567,2007,2007-02-11,South Africa,normal,,10,SM Pollock,South Africa,Pakistan,South Africa,field,BG Jerling,RB Tiffin,Newlands
568,2007,2007-02-14,South Africa,normal,,9,SM Pollock,South Africa,Pakistan,Pakistan,bat,RE Koertzen,RB Tiffin,New Wanderers Stadium
569,2006,2006-12-28,Sri Lanka,normal,,7,ST Jayasuriya,New Zealand,Sri Lanka,New Zealand,bat,SJ Davis,AL Hill,McLean Park
570,2007,2007-01-02,New Zealand,normal,,4,MJ Mason,New Zealand,Sri Lanka,New Zealand,field,SJ Davis,AL Hill,Jade Stadium
571,2007,2007-01-06,Sri Lanka,normal,189,,ST Jayasuriya,New Zealand,Sri Lanka,Sri Lanka,bat,GAV Baxter,SJ Davis,Eden Park
572,2007,2007-02-16,New Zealand,normal,,10,SE Bond,New Zealand,Australia,New Zealand,field,Aleem Dar,BF Bowden,Westpac Stadium
573,2007,2007-02-18,New Zealand,normal,,5,LRPL Taylor,New Zealand,Australia,New Zealand,field,Aleem Dar,AL Hill,Eden Park
574,2007,2007-02-20,New Zealand,normal,,1,ML Hayden,New Zealand,Australia,Australia,bat,Aleem Dar,GAV Baxter,Seddon Park
575,2006,2006-09-15,South Africa,normal,,5,HH Dippenaar,South Africa,Zimbabwe,Zimbabwe,bat,DJ Harper,BG Jerling,Goodyear Park
576,2006,2006-09-14,West Indies,normal,29,,SR Tendulkar,India,West Indies,India,bat,Asad Rauf,MR Benson,Kinrara Academy Oval
577,2006,2006-09-16,NA,no result,,,NA,Australia,India,Australia,bat,MR Benson,AL Hill,Kinrara Academy Oval
578,2006,2006-09-18,West Indies,normal,,3,MEK Hussey,Australia,West Indies,Australia,bat,Asad Rauf,AL Hill,Kinrara Academy Oval
579,2006,2006-09-20,India,normal,16,,Harbhajan Singh,India,West Indies,India,bat,MR Benson,AL Hill,Kinrara Academy Oval
580,2006,2006-09-22,Australia,normal,18,,B Lee,Australia,India,Australia,bat,Asad Rauf,MR Benson,Kinrara Academy Oval
581,2006,2006-09-24,Australia,normal,127,,B Lee,Australia,West Indies,Australia,bat,Asad Rauf,MR Benson,Kinrara Academy Oval
582,2006,2006-08-18,NA,no result,,,NA,Sri Lanka,India,India,bat,BF Bowden,EAR de Silva,Sinhalese Sports Club Ground
583,2006,2006-09-20,South Africa,normal,171,,MV Boucher,South Africa,Zimbabwe,South Africa,bat,DJ Harper,BG Jerling,Sedgars Park
584,2006,2006-12-07,Pakistan,normal,,2,Inzamam-ul-Haq,Pakistan,West Indies,Pakistan,field,Aleem Dar,DJ Harper,Iqbal Stadium
585,2006,2006-12-10,Pakistan,normal,,7,Naved-ul-Hasan,Pakistan,West Indies,Pakistan,field,Asad Rauf,NJ Llong,Gaddafi Stadium
586,2006,2006-12-13,West Indies,normal,,7,MN Samuels,Pakistan,West Indies,Pakistan,bat,NJ Llong,Zameer Haider,Multan Cricket Stadium
587,2006,2006-12-16,Pakistan,normal,,7,Naved-ul-Hasan,Pakistan,West Indies,Pakistan,field,Asad Rauf,NJ Llong,National Stadium
588,2007,2007-07-01,England,normal,79,,FH Edwards,England,West Indies,West Indies,field,BG Jerling,NJ Llong,Lord's
589,2007,2007-07-04,West Indies,normal,61,,S Chanderpaul,England,West Indies,England,field,BG Jerling,NJ Llong,Edgbaston
590,2007,2007-07-07,West Indies,normal,93,,DBL Powell,England,West Indies,West Indies,bat,MR Benson,BG Jerling,Trent Bridge
591,2007,2007-08-21,England,normal,104,,IR Bell,England,India,India,field,MR Benson,BR Doctrove,The Rose Bowl
592,2007,2007-08-24,India,normal,9,,R Dravid,England,India,India,bat,BR Doctrove,IJ Gould,County Ground
593,2007,2007-08-27,England,normal,42,,IR Bell,England,India,India,field,MR Benson,BR Doctrove,Edgbaston
594,2007,2007-08-30,England,normal,,3,SCJ Broad,England,India,India,bat,Aleem Dar,IJ Gould,Old Trafford
595,2007,2007-09-02,India,normal,38,,SC Ganguly,England,India,England,field,Aleem Dar,NJ Llong,Headingley
596,2007,2007-09-05,India,normal,,2,SR Tendulkar,England,India,England,bat,Aleem Dar,PJ Hartley,Kennington Oval
597,2007,2007-09-08,England,normal,,7,KP Pietersen,England,India,India,bat,Aleem Dar,IJ Gould,Lord's
598,2006,2006-11-27,Canada,normal,,5,S Dhaniram,Bermuda,Canada,Canada,field,JJ Luck,RB Tiffin,Sedgars Park
599,2006,2006-12-02,Bermuda,normal,,6,S Mukuddem,Bermuda,Netherlands,Netherlands,bat,SR Modi,RB Tiffin,Willowmoore Park
600,2006,2006-11-30,Canada,normal,,3,GR Codrington,Bermuda,Canada,Canada,field,SR Modi,RB Tiffin,Willowmoore Park
601,2006,2006-12-01,Netherlands,normal,,1,WF Stelling,Canada,Netherlands,Netherlands,field,SR Modi,RB Tiffin,Willowmoore Park
602,2006,2006-09-18,South Africa,normal,,6,AJ Hall,South Africa,Zimbabwe,Zimbabwe,bat,DJ Harper,IL Howell,Buffalo Park
603,2006,2006-12-03,Bangladesh,normal,,6,SC Williams,Bangladesh,Zimbabwe,Bangladesh,field,Enamul Haque,Nadeem Ghauri,Shaheed Chandu Stadium
604,2006,2006-12-05,Bangladesh,normal,26,,Abdur Razzak,Bangladesh,Zimbabwe,Zimbabwe,field,Enamul Haque,SL Shastri,Shaheed Chandu Stadium
605,2006,2006-12-08,Bangladesh,normal,,8,Aftab Ahmed,Bangladesh,Zimbabwe,Bangladesh,field,Nadeem Ghauri,Nadir Shah,Shere Bangla National Stadium
606,2006,2006-12-09,Bangladesh,normal,,3,GB Brent,Bangladesh,Zimbabwe,Bangladesh,field,Nadir Shah,SL Shastri,Shere Bangla National Stadium
607,2007,2007-02-02,Canada,normal,56,,JM Davison,Bermuda,Canada,Bermuda,field,DB Hair,TH Wijewardene,Gymkhana Club Ground
608,2007,2007-02-04,Netherlands,normal,,8,RN ten Doeschate,Bermuda,Netherlands,Netherlands,field,Shahul Hameed,TH Wijewardene,Ruaraka Sports Club Ground
609,2007,2007-02-04,Scotland,normal,77,,RM Haq,Kenya,Scotland,Scotland,bat,GAV Baxter,DB Hair,Gymkhana Club Ground
610,2007,2007-02-05,Kenya,normal,158,,TM Odoyo,Kenya,Canada,Kenya,bat,R Dill,TH Wijewardene,Jaffery Sports Club Ground
611,2007,2007-01-27,West Indies,normal,,3,MN Samuels,India,West Indies,West Indies,field,BF Bowden,SL Shastri,"MA Chidambaram Stadium, Chepauk"
612,2007,2007-01-31,India,normal,160,,SR Tendulkar,India,West Indies,West Indies,field,BF Bowden,AM Saheba,Indian Petrochemicals Corporation Limited Sports Complex Ground
613,2007,2007-02-08,NA,no result,,,NA,India,Sri Lanka,India,field,SL Shastri,SJA Taufel,Eden Gardens
614,2007,2007-02-11,Sri Lanka,normal,5,,KC Sangakkara,India,Sri Lanka,India,field,SL Shastri,SJA Taufel,Madhavrao Scindia Cricket Ground
615,2007,2007-02-17,India,normal,,7,LPC Silva,India,Sri Lanka,India,field,AM Saheba,SJA Taufel,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium
616,2007,2007-02-14,India,normal,,5,Z Khan,India,Sri Lanka,Sri Lanka,bat,AM Saheba,SJA Taufel,"Nehru Stadium, Fatorda"
617,2007,2007-08-16,India,normal,,7,G Gambhir,Scotland,India,India,field,IJ Gould,IL Howell,Titwood
618,2007,2007-05-10,India,normal,,5,MS Dhoni,Bangladesh,India,Bangladesh,bat,EAR de Silva,Nadir Shah,Shere Bangla National Stadium
619,2007,2007-05-12,India,normal,46,,G Gambhir,Bangladesh,India,India,bat,EAR de Silva,Enamul Haque,Shere Bangla National Stadium
620,2007,2007-06-06,Asia XI,normal,34,,SM Pollock,Africa XI,Asia XI,Asia XI,bat,AL Hill,PD Parker,M Chinnaswamy Stadium
621,2007,2007-06-09,Asia XI,normal,31,,CRD Fernando,Africa XI,Asia XI,Asia XI,bat,AL Hill,PD Parker,"MA Chidambaram Stadium, Chepauk"
622,2007,2007-06-10,Asia XI,normal,13,,MS Dhoni,Africa XI,Asia XI,Asia XI,bat,AL Hill,PD Parker,"MA Chidambaram Stadium, Chepauk"
623,2007,2007-10-01,Sri Lanka,normal,119,,MF Maharoof,Sri Lanka,England,Sri Lanka,bat,EAR de Silva,RE Koertzen,Rangiri Dambulla International Stadium
624,2007,2007-10-04,England,normal,65,,OA Shah,Sri Lanka,England,England,bat,RE Koertzen,TH Wijewardene,Rangiri Dambulla International Stadium
625,2007,2007-10-10,England,normal,,5,AN Cook,Sri Lanka,England,Sri Lanka,bat,RE Koertzen,TH Wijewardene,R Premadasa Stadium
626,2007,2007-10-13,Sri Lanka,normal,107,,CRD Fernando,Sri Lanka,England,Sri Lanka,bat,EAR de Silva,RE Koertzen,R Premadasa Stadium
627,2007,2007-12-14,Australia,normal,,7,RT Ponting,Australia,New Zealand,New Zealand,bat,MR Benson,SJ Davis,Adelaide Oval
628,2007,2007-12-16,NA,no result,,,NA,Australia,New Zealand,New Zealand,bat,MR Benson,SJ Davis,Sydney Cricket Ground
629,2007,2007-12-20,Australia,normal,114,,RT Ponting,Australia,New Zealand,New Zealand,field,MR Benson,PD Parker,Bellerive Oval
630,2008,2008-02-03,NA,no result,,,NA,Australia,India,India,bat,SJ Davis,RE Koertzen,"Brisbane Cricket Ground, Woolloongabba"
631,2008,2008-02-05,NA,no result,,,NA,India,Sri Lanka,India,bat,SJ Davis,RE Koertzen,"Brisbane Cricket Ground, Woolloongabba"
632,2008,2008-02-08,Australia,normal,128,,NW Bracken,Australia,Sri Lanka,Australia,bat,AL Hill,SJA Taufel,Sydney Cricket Ground
633,2008,2008-02-10,India,normal,,5,I Sharma,Australia,India,Australia,bat,RE Koertzen,SJA Taufel,Melbourne Cricket Ground
634,2008,2008-02-15,Australia,normal,63,,AC Gilchrist,Australia,Sri Lanka,Australia,bat,DJ Harper,RE Koertzen,Western Australia Cricket Association Ground
635,2008,2008-02-17,Australia,normal,50,,MJ Clarke,Australia,India,Australia,bat,AL Hill,PD Parker,Adelaide Oval
636,2008,2008-02-19,India,normal,,2,KC Sangakkara,India,Sri Lanka,Sri Lanka,bat,AL Hill,PD Parker,Adelaide Oval
637,2008,2008-02-22,Australia,normal,24,,MEK Hussey,Australia,Sri Lanka,Sri Lanka,field,RE Koertzen,SJA Taufel,Melbourne Cricket Ground
638,2008,2008-02-24,Australia,normal,18,,RT Ponting,Australia,India,Australia,bat,DJ Harper,AL Hill,Sydney Cricket Ground
639,2008,2008-02-26,India,normal,,7,P Kumar,India,Sri Lanka,India,field,RE Koertzen,SJA Taufel,Bellerive Oval
640,2008,2008-02-29,Sri Lanka,normal,13,,AC Gilchrist,Australia,Sri Lanka,Sri Lanka,bat,DJ Harper,AL Hill,Melbourne Cricket Ground
641,2008,2008-03-02,India,normal,,6,SR Tendulkar,Australia,India,Australia,bat,DJ Harper,RE Koertzen,Sydney Cricket Ground
642,2008,2008-03-04,India,normal,9,,P Kumar,Australia,India,India,bat,AL Hill,SJA Taufel,"Brisbane Cricket Ground, Woolloongabba"
643,2007,2007-06-23,India,normal,,9,G Gambhir,Ireland,India,India,field,MR Benson,BF Bowden,"Civil Service Cricket Club, Stormont"
644,2007,2007-06-24,South Africa,normal,42,,AR Cusack,Ireland,South Africa,Ireland,field,Aleem Dar,BF Bowden,"Civil Service Cricket Club, Stormont"
645,2007,2007-06-26,South Africa,normal,,4,JH Kallis,India,South Africa,South Africa,field,Aleem Dar,MR Benson,"Civil Service Cricket Club, Stormont"
646,2007,2007-06-29,India,normal,,6,SR Tendulkar,India,South Africa,India,field,MR Benson,BF Bowden,"Civil Service Cricket Club, Stormont"
647,2007,2007-07-01,India,normal,,6,Yuvraj Singh,India,South Africa,India,field,Aleem Dar,MR Benson,"Civil Service Cricket Club, Stormont"
648,2007,2007-07-20,Sri Lanka,normal,70,,CRD Fernando,Sri Lanka,Bangladesh,Bangladesh,field,EAR de Silva,RE Koertzen,P Saravanamuttu Stadium
649,2007,2007-07-23,Sri Lanka,normal,,5,ST Jayasuriya,Sri Lanka,Bangladesh,Sri Lanka,field,RE Koertzen,TH Wijewardene,R Premadasa Stadium
650,2007,2007-07-25,Sri Lanka,normal,39,,J Mubarak,Sri Lanka,Bangladesh,Bangladesh,field,EAR de Silva,RE Koertzen,R Premadasa Stadium
651,2007,2007-07-13,NA,no result,,,NA,Netherlands,Scotland,Scotland,bat,DB Hair,Shahul Hameed,"Civil Service Cricket Club, Stormont"
652,2007,2007-07-14,NA,no result,,,NA,Ireland,West Indies,Ireland,bat,NJ Llong,AM Saheba,Clontarf Cricket Club Ground
653,2007,2007-10-18,Kenya,normal,,4,NA,Kenya,Canada,Kenya,field,M Erasmus,BB Pradhan,Gymkhana Club Ground
654,2007,2007-10-20,Kenya,normal,,4,NA,Kenya,Canada,Canada,bat,M Erasmus,BB Pradhan,Gymkhana Club Ground
655,2008,2008-06-15,England,normal,114,,KP Pietersen,England,New Zealand,New Zealand,field,SJ Davis,NJ Llong,Riverside Ground
656,2008,2008-06-18,NA,no result,,,NA,England,New Zealand,New Zealand,field,SJ Davis,IJ Gould,Edgbaston
657,2008,2008-06-21,New Zealand,normal,22,,KD Mills,England,New Zealand,England,field,SJ Davis,PJ Hartley,County Ground
658,2008,2008-06-25,New Zealand,normal,,1,SB Styris,England,New Zealand,New Zealand,field,MR Benson,SJ Davis,Kennington Oval
659,2008,2008-06-28,New Zealand,normal,51,,SB Styris,England,New Zealand,England,field,SJ Davis,NJ Llong,Lord's
660,2008,2008-08-22,England,normal,20,,KP Pietersen,England,South Africa,England,bat,IJ Gould,SJA Taufel,Headingley
661,2008,2008-08-26,England,normal,,10,SCJ Broad,England,South Africa,South Africa,bat,MR Benson,SJA Taufel,Trent Bridge
662,2008,2008-08-29,England,normal,126,,SR Patel,England,South Africa,South Africa,field,NJ Llong,SJA Taufel,Kennington Oval
663,2008,2008-08-31,England,normal,,7,A Flintoff,England,South Africa,England,field,MR Benson,SJA Taufel,Lord's
664,2008,2008-09-03,NA,no result,,,NA,England,South Africa,England,field,NJ Llong,SJA Taufel,Sophia Gardens
665,2007,2007-09-29,NA,no result,,,NA,India,Australia,Australia,bat,SA Bucknor,SL Shastri,M Chinnaswamy Stadium
666,2007,2007-10-02,Australia,normal,84,,BJ Haddin,India,Australia,India,field,SA Bucknor,SL Shastri,Nehru Stadium
667,2007,2007-10-05,Australia,normal,47,,A Symonds,India,Australia,Australia,bat,SA Bucknor,SL Shastri,"Rajiv Gandhi International Stadium, Uppal"
668,2007,2007-10-08,India,normal,8,,MS Dhoni,India,Australia,India,bat,SA Bucknor,SL Shastri,Sector 16 Stadium
669,2007,2007-10-11,Australia,normal,,9,MG Johnson,India,Australia,India,bat,Aleem Dar,AM Saheba,Reliance Stadium
670,2007,2007-10-14,Australia,normal,18,,A Symonds,India,Australia,Australia,bat,Aleem Dar,AM Saheba,Vidarbha Cricket Association Ground
671,2007,2007-10-17,India,normal,,2,M Kartik,India,Australia,Australia,bat,Aleem Dar,AM Saheba,Wankhede Stadium
672,2007,2007-11-05,India,normal,,5,MS Dhoni,India,Pakistan,Pakistan,bat,IJ Gould,AM Saheba,Nehru Stadium
673,2007,2007-11-08,Pakistan,normal,,4,Younis Khan,India,Pakistan,India,bat,IJ Gould,SL Shastri,"Punjab Cricket Association Stadium, Mohali"
674,2007,2007-11-11,India,normal,46,,Yuvraj Singh,India,Pakistan,Pakistan,field,IJ Gould,AM Saheba,Green Park
675,2007,2007-11-15,India,normal,,6,SR Tendulkar,India,Pakistan,Pakistan,bat,BR Doctrove,AM Saheba,Captain Roop Singh Stadium
676,2007,2007-11-18,Pakistan,normal,31,,Shoaib Malik,India,Pakistan,India,field,BR Doctrove,SL Shastri,Sawai Mansingh Stadium
677,2007,2007-11-25,South Africa,normal,,2,AB de Villiers,South Africa,New Zealand,South Africa,field,MR Benson,BG Jerling,Kingsmead
678,2007,2007-11-30,New Zealand,normal,,7,JM How,South Africa,New Zealand,South Africa,bat,MR Benson,M Erasmus,St George's Park
679,2007,2007-12-02,South Africa,normal,,5,HH Gibbs,South Africa,New Zealand,New Zealand,bat,MR Benson,IL Howell,Newlands
680,2008,2008-01-20,South Africa,normal,,6,JP Duminy,South Africa,West Indies,South Africa,field,DJ Harper,RE Koertzen,SuperSport Park
681,2008,2008-01-25,South Africa,normal,86,,SM Pollock,South Africa,West Indies,South Africa,bat,DJ Harper,BG Jerling,Newlands
682,2008,2008-01-27,South Africa,normal,,7,JH Kallis,South Africa,West Indies,West Indies,bat,DJ Harper,IL Howell,St George's Park
683,2008,2008-02-01,South Africa,normal,,5,AB de Villiers,South Africa,West Indies,West Indies,bat,DJ Harper,IL Howell,Kingsmead
684,2008,2008-02-03,South Africa,normal,,8,HH Gibbs,South Africa,West Indies,South Africa,field,DJ Harper,BG Jerling,New Wanderers Stadium
685,2007,2007-10-18,South Africa,normal,45,,AB de Villiers,Pakistan,South Africa,South Africa,bat,BF Bowden,Nadeem Ghauri,Gaddafi Stadium
686,2007,2007-10-20,Pakistan,normal,25,,Mohammad Yousuf,Pakistan,South Africa,Pakistan,bat,Asad Rauf,BF Bowden,Gaddafi Stadium
687,2007,2007-10-23,Pakistan,normal,,6,Shahid Afridi,Pakistan,South Africa,South Africa,bat,BF Bowden,Zameer Haider,Iqbal Stadium
688,2007,2007-10-26,South Africa,normal,,7,SM Pollock,Pakistan,South Africa,Pakistan,bat,Aleem Dar,BF Bowden,Multan Cricket Stadium
689,2007,2007-10-29,South Africa,normal,14,,M Ntini,Pakistan,South Africa,South Africa,bat,BF Bowden,Nadeem Ghauri,Gaddafi Stadium
690,2007,2007-12-26,New Zealand,normal,,6,JM How,New Zealand,Bangladesh,New Zealand,field,GAV Baxter,PD Parker,Eden Park
691,2007,2007-12-28,New Zealand,normal,102,,PG Fulton,New Zealand,Bangladesh,New Zealand,bat,AL Hill,PD Parker,McLean Park
692,2007,2007-12-31,New Zealand,normal,,10,DL Vettori,New Zealand,Bangladesh,New Zealand,field,AL Hill,NJ Llong,Queenstown Events Centre
693,2008,2008-02-09,New Zealand,normal,,6,SB Styris,New Zealand,England,England,bat,Asad Rauf,GAV Baxter,Westpac Stadium
694,2008,2008-02-12,New Zealand,normal,,10,JD Ryder,New Zealand,England,New Zealand,field,Asad Rauf,GAV Baxter,Seddon Park
197,2019,2019-06-01,Australia,normal,,7,DA Warner,Afghanistan,Australia,Afghanistan,bat,Aleem Dar,RK Illingworth,County Ground
696,2008,2008-02-20,NA,tie,,,JM How,New Zealand,England,New Zealand,field,Asad Rauf,BF Bowden,McLean Park
697,2008,2008-02-23,New Zealand,normal,34,,BB McCullum,New Zealand,England,New Zealand,field,Asad Rauf,BF Bowden,AMI Stadium
698,2007,2007-08-22,South Africa,normal,,5,GB Brent,Zimbabwe,South Africa,Zimbabwe,bat,SJ Davis,RB Tiffin,Queens Sports Club
699,2007,2007-08-25,South Africa,normal,,8,HH Gibbs,Zimbabwe,South Africa,South Africa,field,SJ Davis,RB Tiffin,Harare Sports Club
700,2007,2007-08-26,South Africa,normal,28,,AB de Villiers,Zimbabwe,South Africa,South Africa,bat,KC Barbour,SJ Davis,Harare Sports Club
701,2007,2007-10-25,Kenya,normal,,8,NA,Kenya,Bermuda,Kenya,field,IL Howell,BB Pradhan,Gymkhana Club Ground
702,2007,2007-10-27,Kenya,normal,,3,NA,Kenya,Bermuda,Bermuda,bat,IL Howell,BB Pradhan,Gymkhana Club Ground
703,2007,2007-10-28,Kenya,normal,,1,NA,Kenya,Bermuda,Bermuda,bat,IL Howell,BB Pradhan,Gymkhana Club Ground
704,2007,2007-11-30,Zimbabwe,normal,30,,CJ Chibhabha,Zimbabwe,West Indies,West Indies,field,KC Barbour,BG Jerling,Harare Sports Club
705,2007,2007-12-02,West Indies,normal,110,,RS Morton,Zimbabwe,West Indies,Zimbabwe,field,BG Jerling,RB Tiffin,Harare Sports Club
706,2007,2007-12-07,West Indies,normal,,5,JE Taylor,Zimbabwe,West Indies,West Indies,field,BG Jerling,RB Tiffin,Queens Sports Club
707,2008,2008-04-10,West Indies,normal,,1,DJ Bravo,West Indies,Sri Lanka,West Indies,field,CR Duncan,SJA Taufel,"Queen's Park Oval, Port of Spain"
708,2008,2008-04-12,West Indies,normal,,7,S Chanderpaul,West Indies,Sri Lanka,West Indies,field,CR Duncan,SJA Taufel,"Queen's Park Oval, Port of Spain"
709,2008,2008-04-15,NA,no result,,,NA,West Indies,Sri Lanka,West Indies,field,CR Duncan,SJA Taufel,"Beausejour Stadium, Gros Islet"
710,2008,2008-06-24,Australia,normal,84,,SE Marsh,West Indies,Australia,West Indies,field,Asad Rauf,BR Doctrove,"Arnos Vale Ground, Kingstown"
711,2008,2008-06-27,Australia,normal,63,,MJ Clarke,West Indies,Australia,Australia,bat,Asad Rauf,NA Malcolm,"National Cricket Stadium, St George's"
712,2008,2008-06-29,Australia,normal,,7,SR Watson,West Indies,Australia,Australia,field,Asad Rauf,NA Malcolm,"National Cricket Stadium, St George's"
